timestamp,temperature_2m,relative_humidity_2m,rain,wind_speed_10m,cloud_cover,ghi,direct_normal_irradiance,diffuse_radiation,ghi_clearsky,pv_power_predicted,pv_actual,sg_timestamp_naive,utc_timestamp,image_path,time_diff_minutes
2024-01-03 13:00:00,28.2,83,0.4,11.4,100,472.0,94.9,387.0,919.2385744558196,465.9584,400.724224,2024-01-03 13:00:00,2024-01-03 05:00:00+00:00,data/satellite/2024/01/himawari_4d_20240103_050000.png,0.0
2024-01-03 14:00:00,29.1,81,0.4,11.4,100,685.0,317.0,398.0,892.5372790886349,673.7660000000001,579.43876,2024-01-03 14:00:00,2024-01-03 06:00:00+00:00,data/satellite/2024/01/himawari_4d_20240103_060000.png,0.0
2024-01-03 15:00:00,29.5,81,0.3,10.1,99,640.0,292.1,391.0,792.2433667682944,628.48,540.4928,2024-01-03 15:00:00,2024-01-03 07:00:00+00:00,data/satellite/2024/01/himawari_4d_20240103_070000.png,0.0
2024-01-03 16:00:00,28.3,81,5.1,13.3,99,528.0,357.7,263.0,626.1961185446985,521.0304,448.086144,2024-01-03 16:00:00,2024-01-03 08:00:00+00:00,data/satellite/2024/01/himawari_4d_20240103_080000.png,0.0
2024-01-03 17:00:00,27.1,85,1.4,7.5,100,290.0,207.6,170.0,408.71166405603935,287.564,247.30504,2024-01-03 17:00:00,2024-01-03 09:00:00+00:00,data/satellite/2024/01/himawari_4d_20240103_090000.png,0.0
2024-01-04 08:00:00,23.7,99,0.1,8.2,100,26.0,0.0,26.0,97.30736169282132,26.1352,22.476272,2024-01-04 08:00:00,2024-01-04 00:00:00+00:00,data/satellite/2024/01/himawari_4d_20240104_000000.png,0.0
2024-01-04 09:00:00,24.5,95,2.1,7.6,100,30.0,0.0,30.0,336.88690655176333,30.06,25.8516,2024-01-04 09:00:00,2024-01-04 01:00:00+00:00,data/satellite/2024/01/himawari_4d_20240104_010000.png,0.0
2024-01-04 10:00:00,24.9,92,2.6,8.5,100,89.0,0.0,89.0,565.948933854207,89.0356,76.57061599999999,2024-01-04 10:00:00,2024-01-04 02:00:00+00:00,data/satellite/2024/01/himawari_4d_20240104_020000.png,0.0
2024-01-04 11:00:00,25.0,91,2.0,2.4,100,112.0,1.4,111.0,749.5958021873645,112.0,96.32,2024-01-04 11:00:00,2024-01-04 03:00:00+00:00,data/satellite/2024/01/himawari_4d_20240104_030000.png,0.0
2024-01-04 12:00:00,25.5,89,0.4,3.7,100,160.0,0.0,160.0,871.0217837531984,159.68,137.32479999999998,2024-01-04 12:00:00,2024-01-04 04:00:00+00:00,data/satellite/2024/01/himawari_4d_20240104_040000.png,0.0
2024-01-04 13:00:00,26.3,87,0.4,2.4,100,338.0,48.0,295.0,920.5552035430989,336.24240000000003,289.16846400000003,2024-01-04 13:00:00,2024-01-04 05:00:00+00:00,data/satellite/2024/01/himawari_4d_20240104_050000.png,0.0
2024-01-04 14:00:00,27.5,84,0.4,3.5,100,555.0,139.0,429.0,894.4140854049465,549.45,472.527,2024-01-04 14:00:00,2024-01-04 06:00:00+00:00,data/satellite/2024/01/himawari_4d_20240104_060000.png,0.0
2024-01-04 15:00:00,27.2,82,3.6,14.3,100,449.0,113.6,352.0,794.5780605612186,445.0488,382.741968,2024-01-04 15:00:00,2024-01-04 07:00:00+00:00,data/satellite/2024/01/himawari_4d_20240104_070000.png,0.0
2024-01-04 16:00:00,25.6,88,0.2,11.3,100,162.0,16.2,150.0,628.8403364387982,161.6112,138.985632,2024-01-04 16:00:00,2024-01-04 08:00:00+00:00,data/satellite/2024/01/himawari_4d_20240104_080000.png,0.0
2024-01-04 17:00:00,27.5,82,0.0,16.0,98,440.0,396.6,210.0,411.4522472225913,435.6,374.616,2024-01-04 17:00:00,2024-01-04 09:00:00+00:00,data/satellite/2024/01/himawari_4d_20240104_090000.png,0.0
2024-01-05 08:00:00,24.1,97,0.0,10.4,100,23.0,8.3,22.0,96.11261965349412,23.0828,19.851208000000003,2024-01-05 08:00:00,2024-01-05 00:00:00+00:00,data/satellite/2024/01/himawari_4d_20240105_000000.png,0.0
2024-01-05 09:00:00,26.0,89,0.1,15.5,100,134.0,62.0,115.0,335.8987557546452,133.464,114.77904,2024-01-05 09:00:00,2024-01-05 01:00:00+00:00,data/satellite/2024/01/himawari_4d_20240105_010000.png,0.0
2024-01-05 10:00:00,26.2,88,1.9,17.3,100,220.0,55.9,191.0,565.4727374778934,218.944,188.29184,2024-01-05 10:00:00,2024-01-05 02:00:00+00:00,data/satellite/2024/01/himawari_4d_20240105_020000.png,0.0
