Model,MAE_Wm2,RMSE_Wm2,R2,nMAE_pct,PICP_pct,Skill_vs_SP
Physics-Gated (large) ★,78.50653839111328,104.13067399006404,0.6987209320068359,16.489584072479495,89.49096880131363,0.34009211382548143
Physics-Gated (no ghi_lag1),79.57209014892578,106.17318454858317,0.68733811378479,16.713393523948273,88.17733990147784,0.33113533108460347
CNN-only,81.92263793945312,106.56636723188043,0.6851957440376282,17.20710470014591,87.65188834154351,0.3113771675534158
Naive concat fusion,81.94558715820312,108.80600210351449,0.6721506714820862,17.21192497473362,87.91461412151067,0.31118426170448865
LSTM-only,86.03136444091797,114.7982775622091,0.6367731690406799,18.070105317230794,91.06732348111657,0.27684015858553834
Physics-Gated (small),89.0171127319336,117.14274562072762,0.6219723224639893,18.697234578983306,89.29392446633825,0.2517426458973935
Smart persistence ⚑,118.96590423583984,151.0556602713053,0.3229031562805176,24.98770573582549,,
Persistence (GHI held),233.175048828125,281.0372945669311,-1.3759498596191406,48.976297389404664,,
