Model,MAE_W,RMSE_W,R2,nMAE%,PICP%
Linear Regression (honest),75.98943668541452,97.24934475791784,0.7920391856371564,18.968404649468187,
Random Forest (honest),65.8087985265035,89.02881876931205,0.8257112463734826,16.427124274045863,
LightGBM (honest),66.4837419166123,89.80315513662198,0.8226662767204416,16.595602945523172,
LSTM-only,375.477294921875,431.647805652942,-3.0953445434570312,93.726254298354,8.869047619047619
Physics-Gated Fusion ★,360.5257263183594,417.5822523767024,-2.8327932357788086,89.99405919616021,12.380952380952381
